PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35560017,Methylation of microribonucleic acid Let-7b regulatory regions in endometriosis,"Meixell DA, Mamillapalli R, Taylor HS.",F S Sci. 2022 May;3(2):197-203. doi: 10.1016/j.xfss.2022.03.001. Epub 2022 Mar 30.,Meixell DA,F S Sci,2022,2022/5/13,,,10.1016/j.xfss.2022.03.001
35513844,"Exosomal AFAP1-AS1 binds to microRNA-15a-5p to promote the proliferation, migration, and invasion of ectopic endometrial stromal cells in endometriosis","Wang X, Zhang M, Jiang L, Fang X, Zhang T.",Reprod Biol Endocrinol. 2022 May 5;20(1):77. doi: 10.1186/s12958-022-00942-1.,Wang X,Reprod Biol Endocrinol,2022,2022/5/5,PMC9069797,,10.1186/s12958-022-00942-1
35504053,CircATRNL1 increases acid-sensing ion channel 1 to advance epithelial-mesenchymal transition in endometriosis by binding to microRNA-103a-3p,"Chen X, Liu M.",Reprod Biol. 2022 Jun;22(2):100643. doi: 10.1016/j.repbio.2022.100643. Epub 2022 Apr 30.,Chen X,Reprod Biol,2022,2022/5/3,,,10.1016/j.repbio.2022.100643
35476352,Inflammatory MicroRNAs and the Pathophysiology of Endometriosis and Atherosclerosis: Common Pathways and Future Directions Towards Elucidating the Relationship,"Azari ZD, Aljubran F, Nothnick WB.",Reprod Sci. 2022 Aug;29(8):2089-2104. doi: 10.1007/s43032-022-00955-6. Epub 2022 Apr 27.,Azari ZD,Reprod Sci,2022,2022/4/27,,,10.1007/s43032-022-00955-6
35451884,"CPEB3, an RNA-Binding Protein, Modulates the Behavior of Endometriosis-Derived Stromal Cells via Regulating CXCL12","Wang J, Wu H, Wang X, Zhao X, Sun L, Cheng Y, Jiang X, Li J, Zhang G.",DNA Cell Biol. 2022 Jun;41(6):606-616. doi: 10.1089/dna.2021.1017. Epub 2022 Apr 22.,Wang J,DNA Cell Biol,2022,2022/4/22,,,10.1089/dna.2021.1017
35419445,Identification of Potential Molecular Mechanism Related to Infertile Endometriosis,"Li X, Guo L, Zhang W, He J, Ai L, Yu C, Wang H, Liang W.",Front Vet Sci. 2022 Mar 28;9:845709. doi: 10.3389/fvets.2022.845709. eCollection 2022.,Li X,Front Vet Sci,2022,2022/4/14,PMC8995652,,10.3389/fvets.2022.845709
35415247,hsa-miR-340-5p inhibits epithelial-mesenchymal transition in endometriosis by targeting MAP3K2 and inactivating MAPK/ERK signaling,"Wan Y, Huang J, Song Y, Gu C, Kong J, Zuo L, Chen J.",Open Med (Wars). 2022 Mar 17;17(1):566-576. doi: 10.1515/med-2022-0448. eCollection 2022.,Wan Y,Open Med (Wars),2022,2022/4/13,PMC8932397,,10.1515/med-2022-0448
35414313,"Long non-coding RNA DHRS4 antisense RNA 1 inhibits ectopic endometrial cell proliferation, migration, and invasion in endometriosis by regulating microRNA-139-5p expression","Cui X, Zhou S, Lin Y.",Bioengineered. 2022 Apr;13(4):9792-9804. doi: 10.1080/21655979.2022.2060781.,Cui X,Bioengineered,2022,2022/4/13,PMC9161999,,10.1080/21655979.2022.2060781
35406659,MicroRNAs and Progesterone Receptor Signaling in Endometriosis Pathophysiology,Nothnick WB.,Cells. 2022 Mar 24;11(7):1096. doi: 10.3390/cells11071096.,Nothnick WB,Cells,2022,2022/4/12,PMC8997421,,10.3390/cells11071096
35379225,miR-218-5p in endometrial microenvironment prevents the migration of ectopic endometrial stromal cells by inhibiting LASP1,"Zhang Z, Wang Y, Zeng L, Yu K, Wang Y, Luo Y, Liu F, Yang B, Zou Y, Wang L, Huang O.",Reprod Biol Endocrinol. 2022 Apr 4;20(1):64. doi: 10.1186/s12958-022-00928-z.,Zhang Z,Reprod Biol Endocrinol,2022,2022/4/5,PMC8978357,,10.1186/s12958-022-00928-z
35378789,Effects of miR-363 on the Biological Activities of Eutopic Endometrial Stromal Cells in Endometriosis,"Nai M, Zhang Y, Li L, Jin Y, Li Y, Wang L, Ren C.",Biomed Res Int. 2022 Mar 26;2022:7663379. doi: 10.1155/2022/7663379. eCollection 2022.,Nai M,Biomed Res Int,2022,2022/4/5,PMC8976632,,10.1155/2022/7663379
35368023,Endometrial epithelial cells-derived exosomes deliver microRNA-30c to block the BCL9/Wnt/CD44 signaling and inhibit cell invasion and migration in ovarian endometriosis,"Zhang M, Wang X, Xia X, Fang X, Zhang T, Huang F.",Cell Death Discov. 2022 Apr 2;8(1):151. doi: 10.1038/s41420-022-00941-6.,Zhang M,Cell Death Discov,2022,2022/4/3,PMC8976844,,10.1038/s41420-022-00941-6
35366691,miR-424-5p combined with miR-17-5p has high diagnostic efficacy for endometriosis,"Lin C, Zeng S, Li M.",Arch Gynecol Obstet. 2023 Jan;307(1):169-177. doi: 10.1007/s00404-022-06492-6. Epub 2022 Apr 3.,Lin C,Arch Gynecol Obstet,2023,2022/4/3,,,10.1007/s00404-022-06492-6
35327987,Long Intergenic Non-Protein Coding RNA 02381 Promotes the Proliferation and Invasion of Ovarian Endometrial Stromal Cells through the miR-27b-3p/CTNNB1 Axis,"Wang X, Wu P, Zeng C, Zhu J, Zhou Y, Lu Y, Xue Q.",Genes (Basel). 2022 Feb 26;13(3):433. doi: 10.3390/genes13030433.,Wang X,Genes (Basel),2022,2022/3/25,PMC8955621,,10.3390/genes13030433
35321026,Exosomal lncRNA HOTAIR Promotes the Progression and Angiogenesis of Endometriosis via the miR-761/HDAC1 Axis and Activation of STAT3-Mediated Inflammation,"Zhang L, Yu Z, Qu Q, Li X, Lu X, Zhang H.",Int J Nanomedicine. 2022 Mar 16;17:1155-1170. doi: 10.2147/IJN.S354314. eCollection 2022.,Zhang L,Int J Nanomedicine,2022,2022/3/24,PMC8935629,,10.2147/IJN.S354314
35285386,The role of miRNAs in regulation of platelet activity and related diseases - a bioinformatic analysis,"Wicik Z, Czajka P, Eyileten C, Fitas A, Wolska M, Jakubik D, von Lewinski D, Sourij H, Siller-Matula JM, Postula M.",Platelets. 2022 Oct 3;33(7):1052-1064. doi: 10.1080/09537104.2022.2042233. Epub 2022 Mar 14.,Wicik Z,Platelets,2022,2022/3/14,,,10.1080/09537104.2022.2042233
35281615,Differential Expression and Bioinformatics Analysis of tRF/tiRNA in Endometriosis Patients,"Li WS, Li YL, Cao R, Ha CF, Sun S, Yu L, Li J.",Biomed Res Int. 2022 Mar 3;2022:9911472. doi: 10.1155/2022/9911472. eCollection 2022.,Li WS,Biomed Res Int,2022,2022/3/14,PMC8913131,,10.1155/2022/9911472
35276468,LINC00339: An emerging major player in cancer and metabolic diseases,"Wu Z, Zhang S, Guo W, He Y.",Biomed Pharmacother. 2022 May;149:112788. doi: 10.1016/j.biopha.2022.112788. Epub 2022 Mar 9.,Wu Z,Biomed Pharmacother,2022,2022/3/11,,,10.1016/j.biopha.2022.112788
35275273,MiR-518c-3p alleviates endometriosis by inhibiting ectopic endometrial migration and epithelial-mesenchymal transition via targeting ZNF608,"Lu B, Cao X, Chen X, Yue Y, Tang S, Xia F.",Arch Gynecol Obstet. 2023 Jan;307(1):205-213. doi: 10.1007/s00404-022-06439-x. Epub 2022 Mar 11.,Lu B,Arch Gynecol Obstet,2023,2022/3/11,,,10.1007/s00404-022-06439-x
35269947,miRNAs in Cancer (Review of Literature),"Smolarz B, Durczyński A, Romanowicz H, Szyłło K, Hogendorf P.",Int J Mol Sci. 2022 Mar 3;23(5):2805. doi: 10.3390/ijms23052805.,Smolarz B,Int J Mol Sci,2022,2022/3/10,PMC8910953,,10.3390/ijms23052805
35260677,MicroRNome analysis generates a blood-based signature for endometriosis,"Bendifallah S, Dabi Y, Suisse S, Jornea L, Bouteiller D, Touboul C, Puchar A, Daraï E.",Sci Rep. 2022 Mar 8;12(1):4051. doi: 10.1038/s41598-022-07771-7.,Bendifallah S,Sci Rep,2022,2022/3/9,PMC8902281,,10.1038/s41598-022-07771-7
35236644,MicroRNA-148a targets ADAMTS5 to inhibit proliferation of endometriosis cells,"He S, Li J, Ma D, Liu Z, Lv N.",Pak J Pharm Sci. 2022 Jan;35(1(Special)):335-341.,He S,Pak J Pharm Sci,2022,2022/3/3,,,
35173188,Long noncoding RNA ADAMTS9-AS1 represses ferroptosis of endometrial stromal cells by regulating the miR-6516-5p/GPX4 axis in endometriosis,"Wan Y, Gu C, Kong J, Sui J, Zuo L, Song Y, Chen J.",Sci Rep. 2022 Feb 16;12(1):2618. doi: 10.1038/s41598-022-04963-z.,Wan Y,Sci Rep,2022,2022/2/17,PMC8850595,,10.1038/s41598-022-04963-z
35160066,Salivary MicroRNA Signature for Diagnosis of Endometriosis,"Bendifallah S, Suisse S, Puchar A, Delbos L, Poilblanc M, Descamps P, Golfier F, Jornea L, Bouteiller D, Touboul C, Dabi Y, Daraï E.",J Clin Med. 2022 Jan 26;11(3):612. doi: 10.3390/jcm11030612.,Bendifallah S,J Clin Med,2022,2022/2/15,PMC8836532,,10.3390/jcm11030612
35150909,The effect of pharmacological cessation and restoration of menstrual cycle on bone metabolism in premenopausal women with endometriosis,"Anastasilakis AD, Papachatzopoulos S, Makras P, Gkiomisi A, Nikolakopoulos P, Polyzos SA, Ntenti C, Ballaouri I, Gerou S, Tsachouridou O, Papatheodorou A, Aliazis K, Fermanoglou S, Bisbinas I, Yavropoulou MP.",Bone. 2022 May;158:116354. doi: 10.1016/j.bone.2022.116354. Epub 2022 Feb 9.,Anastasilakis AD,Bone,2022,2022/2/12,,,10.1016/j.bone.2022.116354
35126948,miR-206 Targets MALAT1 to Suppress Cell Progression of Ectopic Endometrial Stromal Cells in Endometriosis,"Li J, Guan X, Xu C, Jia J, Zhang L, Han H.",J Healthc Eng. 2022 Jan 27;2022:8094385. doi: 10.1155/2022/8094385. eCollection 2022.,Li J,J Healthc Eng,2022,2022/2/7,PMC8813257,,10.1155/2022/8094385
35124383,Endometriosis derived exosomal miR-301a-3p mediates macrophage polarization via regulating PTEN-PI3K axis,"Huang Y, Zhu L, Li H, Ye J, Lin N, Chen M, Pan D, Chen Z.",Biomed Pharmacother. 2022 Mar;147:112680. doi: 10.1016/j.biopha.2022.112680. Epub 2022 Feb 3.,Huang Y,Biomed Pharmacother,2022,2022/2/6,,,10.1016/j.biopha.2022.112680
35094286,Expression of lncRNA NEAT1 in endometriosis and its biological functions in ectopic endometrial cells as mediated via miR-124-3p,"Yuan D, Zhu D, Yin B, Ge H, Zhao Y, Huang A, Wang X, Cao X, Xia N, Qian H.",Genes Genomics. 2022 May;44(5):527-537. doi: 10.1007/s13258-021-01184-y. Epub 2022 Jan 30.,Yuan D,Genes Genomics,2022,2022/1/30,,,10.1007/s13258-021-01184-y
35075615,Impairment of Decidualization of Endometrial Stromal Cells by hsa-miR-375 Through NOX4 Targeting,"Yu SL, Jeong DU, Kang Y, Kim TH, Lee SK, Han AR, Kang J, Park SR.",Reprod Sci. 2022 Nov;29(11):3212-3221. doi: 10.1007/s43032-022-00854-w. Epub 2022 Jan 24.,Yu SL,Reprod Sci,2022,2022/1/25,PMC9646565,,10.1007/s43032-022-00854-w
35075610,Overexpression of miR-200b-3p in Menstrual Blood-Derived Mesenchymal Stem Cells from Endometriosis Women,"de Oliveira RZ, de Oliveira Buono F, Cressoni ACL, Penariol LBC, Padovan CC, Tozetti PA, Poli-Neto OB, Ferriani RA, Orellana MD, Rosa-E-Silva JC, Meola J.",Reprod Sci. 2022 Mar;29(3):734-742. doi: 10.1007/s43032-022-00860-y. Epub 2022 Jan 24.,de Oliveira RZ,Reprod Sci,2022,2022/1/25,,,10.1007/s43032-022-00860-y
35054341,Clues for Improving the Pathophysiology Knowledge for Endometriosis Using Serum Micro-RNA Expression,"Dabi Y, Suisse S, Jornea L, Bouteiller D, Touboul C, Puchar A, Daraï E, Bendifallah S.",Diagnostics (Basel). 2022 Jan 12;12(1):175. doi: 10.3390/diagnostics12010175.,Dabi Y,Diagnostics (Basel),2022,2022/1/21,PMC8774370,,10.3390/diagnostics12010175
34995817,MiR-143-3p facilitates motility and invasiveness of endometriotic stromal cells by targeting VASH1/TGF-β signaling,"Li N, Yi K, Li X, Wang Y, Jing J, Hu J, Wang Z.",Reprod Biol. 2022 Mar;22(1):100592. doi: 10.1016/j.repbio.2021.100592. Epub 2022 Jan 4.,Li N,Reprod Biol,2022,2022/1/7,,,10.1016/j.repbio.2021.100592
34993929,Identification of Candidate Gene Signatures and Regulatory Networks in Endometriosis and its Related Infertility by Integrated Analysis,"Li Q, Xi M, Shen F, Fu F, Wang J, Chen Y, Zhou J.",Reprod Sci. 2022 Feb;29(2):411-426. doi: 10.1007/s43032-021-00766-1. Epub 2022 Jan 7.,Li Q,Reprod Sci,2022,2022/1/7,,,10.1007/s43032-021-00766-1
34967761,Knockdown hsa_circ_0063526 inhibits endometriosis progression via regulating the miR-141-5p / EMT axis and downregulating estrogen receptors,"Wei Z, Hu Y, He X, Zhang M, Zhang X, Wang Y, Fang X, Li L.",Aging (Albany NY). 2021 Dec 30;13(24):26095-26117. doi: 10.18632/aging.203799. Epub 2021 Dec 30.,Wei Z,Aging (Albany NY),2021,2021/12/30,PMC8751610,,10.18632/aging.203799
34955008,MicroRNA let-7: A promising non-invasive biomarker for diagnosing and treating external genital endometriosis,"Pokrovenko DA, Vozniuk V, Medvediev MV.",Turk J Obstet Gynecol. 2021 Dec 24;18(4):291-297. doi: 10.4274/tjod.galenos.2021.07277.,Pokrovenko DA,Turk J Obstet Gynecol,2021,2021/12/27,PMC8711670,,10.4274/tjod.galenos.2021.07277
34846581,Promising therapeutic targets of endometriosis obtained from microRNA studies,"Nasu K, Aoyagi Y, Zhu R, Okamoto M, Kai K, Kawano Y.",Med Mol Morphol. 2022 Jun;55(2):85-90. doi: 10.1007/s00795-021-00308-3. Epub 2021 Nov 30.,Nasu K,Med Mol Morphol,2022,2021/11/30,,,10.1007/s00795-021-00308-3
34829891,miRNAs and lncRNAs: Potential Non-Invasive Biomarkers for Endometriosis,"Maier IM, Maier AC.",Biomedicines. 2021 Nov 11;9(11):1662. doi: 10.3390/biomedicines9111662.,Maier IM,Biomedicines,2021,2021/11/27,PMC8615815,,10.3390/biomedicines9111662
34781599,Administration of red ginseng regulates microRNA expression in a mouse model of endometriosis,"Lee JH, Park JH, Won BH, Im W, Cho S.",Clin Exp Reprod Med. 2021 Dec;48(4):337-346. doi: 10.5653/cerm.2021.04392. Epub 2021 Sep 1.,Lee JH,Clin Exp Reprod Med,2021,2021/11/16,PMC8651755,,10.5653/cerm.2021.04392
34708430,microRNAs in female infertility: An overview,"Bahmyari S, Jamali Z, Khatami SH, Vakili O, Roozitalab M, Savardashtaki A, Solati A, Mousavi P, Shabaninejad Z, Vakili S, Behrouj H, Ghasemi H, Movahedpour A.",Cell Biochem Funct. 2021 Dec;39(8):955-969. doi: 10.1002/cbf.3671. Epub 2021 Oct 27.,Bahmyari S,Cell Biochem Funct,2021,2021/10/28,,,10.1002/cbf.3671
34631883,"The Role of miRNAs 340-5p, 92a-3p, and 381-3p in Patients with Endometriosis: A Plasma and Mesenchymal Stem-Like Cell Study","Bahramy A, Zafari N, Izadi P, Soleymani F, Kavousi S, Noruzinia M.",Biomed Res Int. 2021 Sep 29;2021:5298006. doi: 10.1155/2021/5298006. eCollection 2021.,Bahramy A,Biomed Res Int,2021,2021/10/11,PMC8494557,,10.1155/2021/5298006
34546850,Circular RNA PIP5K1A (circPIP5K1A) accelerates endometriosis progression by regulating the miR-153-3p/Thymosin Beta-4 X-Linked (TMSB4X) pathway,"Sun L, Wei Y, Wang J.",Bioengineered. 2021 Dec;12(1):7104-7118. doi: 10.1080/21655979.2021.1978618.,Sun L,Bioengineered,2021,2021/9/21,PMC8806837,,10.1080/21655979.2021.1978618
34542679,Serum exosomal miRNA from endometriosis patients correlates with disease severity,"Wu Y, Yuan W, Ding H, Wu X.",Arch Gynecol Obstet. 2022 Jan;305(1):117-127. doi: 10.1007/s00404-021-06227-z. Epub 2021 Sep 20.,Wu Y,Arch Gynecol Obstet,2022,2021/9/20,PMC8782809,,10.1007/s00404-021-06227-z
34539847,Role of miR-139-5p in ectopic endometrial stromal cells and the underlying molecular mechanism,"Feng L, Chen X, Zhang S, Chen Y, Yu Y.",Exp Ther Med. 2021 Nov;22(5):1251. doi: 10.3892/etm.2021.10686. Epub 2021 Sep 2.,Feng L,Exp Ther Med,2021,2021/9/20,PMC8438670,,10.3892/etm.2021.10686
34528556,"Diagnostic potential of differentially regulated microRNAs among endometriosis, endometrioid ovarian cancer, and endometrial cancer","Kumari P, Sharma I, Saha SC, Srinivasan R, Minhas P.",J Cancer Res Ther. 2021 Jul-Sep;17(4):1003-1011. doi: 10.4103/jcrt.JCRT_969_19.,Kumari P,J Cancer Res Ther,2021,2021/9/16,,,10.4103/jcrt.JCRT_969_19
34522177,Downregulation of circ_0000673 Promotes Cell Proliferation and Migration in Endometriosis via the Mir-616-3p/PTEN Axis,"Yang Y, Ban D, Zhang C, Shen L.",Int J Med Sci. 2021 Aug 17;18(15):3506-3515. doi: 10.7150/ijms.63564. eCollection 2021.,Yang Y,Int J Med Sci,2021,2021/9/15,PMC8436099,,10.7150/ijms.63564
34517087,Circular RNA circZFPM2 promotes epithelial-mesenchymal transition in endometriosis by regulating miR-205-5p/ZEB1 signalling pathway,"Wang D, Cui L, Yang Q, Wang J.",Cell Signal. 2021 Nov;87:110145. doi: 10.1016/j.cellsig.2021.110145. Epub 2021 Sep 10.,Wang D,Cell Signal,2021,2021/9/13,,,10.1016/j.cellsig.2021.110145
34463829,Role of repressed microRNAs in endometriosis,"Nasu K, Aoyagi Y, Zhu R, Okamoto M, Yano M, Kai K, Kawano Y.",Med Mol Morphol. 2022 Mar;55(1):1-7. doi: 10.1007/s00795-021-00303-8. Epub 2021 Aug 31.,Nasu K,Med Mol Morphol,2022,2021/8/31,,,10.1007/s00795-021-00303-8
34449536,Circulating miRNAs Related to Epithelial-Mesenchymal Transitions (EMT) as the New Molecular Markers in Endometriosis,"Zubrzycka A, Migdalska-Sęk M, Jędrzejczyk S, Brzeziańska-Lasota E.",Curr Issues Mol Biol. 2021 Aug 5;43(2):900-916. doi: 10.3390/cimb43020064.,Zubrzycka A,Curr Issues Mol Biol,2021,2021/8/27,PMC8929046,,10.3390/cimb43020064
34441754,Role of miRNAs in Normal Endometrium and in Endometrial Disorders: Comprehensive Review,"Kolanska K, Bendifallah S, Canlorbe G, Mekinian A, Touboul C, Aractingi S, Chabbert-Buffet N, Daraï E.",J Clin Med. 2021 Aug 4;10(16):3457. doi: 10.3390/jcm10163457.,Kolanska K,J Clin Med,2021,2021/8/27,PMC8396961,,10.3390/jcm10163457
34408418,Exosomal lncRNA CHL1-AS1 Derived from Peritoneal Macrophages Promotes the Progression of Endometriosis via the miR-610/MDM2 Axis,"Liu T, Liu M, Zheng C, Zhang D, Li M, Zhang L.",Int J Nanomedicine. 2021 Aug 12;16:5451-5464. doi: 10.2147/IJN.S323671. eCollection 2021.,Liu T,Int J Nanomedicine,2021,2021/8/19,PMC8367089,,10.2147/IJN.S323671
34385836,Exploring the Potential Key IncRNAs with Endometriosis by Construction of a ceRNA Network,"Gu C, Meng Y, Meng Q, Fan W, Ye M, Zhang Q, Zhang N, Li L.",Int J Gen Med. 2021 Aug 5;14:4161-4170. doi: 10.2147/IJGM.S321648. eCollection 2021.,Gu C,Int J Gen Med,2021,2021/8/13,PMC8352637,,10.2147/IJGM.S321648
34382070,Inhibition of METTL3/m6A/miR126 promotes the migration and invasion of endometrial stromal cells in endometriosis†,"Li X, Xiong W, Long X, Dai X, Peng Y, Xu Y, Zhang Z, Zhang L, Liu Y.",Biol Reprod. 2021 Nov 15;105(5):1221-1233. doi: 10.1093/biolre/ioab152.,Li X,Biol Reprod,2021,2021/8/12,PMC10308507,,10.1093/biolre/ioab152
34304687,microRNAs as novel diagnostic biomarkers in endometriosis patients: a systematic review and meta-analysis,"Zafari N, Bahramy A, Majidi Zolbin M, Emadi Allahyari S, Farazi E, Hassannejad Z, Yekaninejad MS.",Expert Rev Mol Diagn. 2022 Apr;22(4):479-495. doi: 10.1080/14737159.2021.1960508. Epub 2021 Aug 13.,Zafari N,Expert Rev Mol Diagn,2022,2021/7/26,,,10.1080/14737159.2021.1960508
34298978,The Role of microRNA Let-7d in Female Malignancies and Diseases of the Female Reproductive Tract,"De Santis C, Götte M.",Int J Mol Sci. 2021 Jul 8;22(14):7359. doi: 10.3390/ijms22147359.,De Santis C,Int J Mol Sci,2021,2021/7/24,PMC8305730,,10.3390/ijms22147359
34280006,Construction of Competing Endogenous RNA Networks Incorporating Transcription Factors to Reveal Differences in Granulosa Cells from Patients with Endometriosis,"Wu R, Li J, Li J, Zhang N, Zhou W, Ren L, Chen Q, Li Y.",Genet Test Mol Biomarkers. 2021 Jul;25(7):453-462. doi: 10.1089/gtmb.2020.0152.,Wu R,Genet Test Mol Biomarkers,2021,2021/7/19,,,10.1089/gtmb.2020.0152
34272164,Exosomes and their cargo are important regulators of cell function in endometriosis,"Freger S, Leonardi M, Foster WG.",Reprod Biomed Online. 2021 Sep;43(3):370-378. doi: 10.1016/j.rbmo.2021.05.022. Epub 2021 Jun 3.,Freger S,Reprod Biomed Online,2021,2021/7/17,,,10.1016/j.rbmo.2021.05.022
34244742,A critical appraisal of the circulating levels of differentially expressed microRNA in endometriosis†,"Leonova A, Turpin VE, Agarwal SK, Leonardi M, Foster WG.",Biol Reprod. 2021 Nov 15;105(5):1075-1085. doi: 10.1093/biolre/ioab134.,Leonova A,Biol Reprod,2021,2021/7/10,PMC8599033,,10.1093/biolre/ioab134
34201813,The Potential of Non-Invasive Biomarkers for Early Diagnosis of Asymptomatic Patients with Endometriosis,"Kimber-Trojnar Ż, Pilszyk A, Niebrzydowska M, Pilszyk Z, Ruszała M, Leszczyńska-Gorzelak B.",J Clin Med. 2021 Jun 23;10(13):2762. doi: 10.3390/jcm10132762.,Kimber-Trojnar Ż,J Clin Med,2021,2021/7/2,PMC8268879,,10.3390/jcm10132762
34159571,The Search for Biomarkers in Endometriosis: a Long and Windy Road,"Králíčková M, Vetvicka V, Fiala L, Laganà AS, Garzon S.",Reprod Sci. 2022 Jun;29(6):1667-1673. doi: 10.1007/s43032-021-00668-2. Epub 2021 Jun 22.,Králíčková M,Reprod Sci,2022,2021/6/23,,,10.1007/s43032-021-00668-2
34155616,Plasma microRNAs can be a potential diagnostic biomarker for endometriosis,"Zhuo Z, Wang C, Yu H.",Ginekol Pol. 2022;93(6):450-459. doi: 10.5603/GP.a2021.0127. Epub 2021 Jun 22.,Zhuo Z,Ginekol Pol,2022,2021/6/22,,,10.5603/GP.a2021.0127
34149619,The Complicated Effects of Extracellular Vesicles and Their Cargos on Embryo Implantation,"Jiang NX, Li XL.",Front Endocrinol (Lausanne). 2021 Jun 4;12:681266. doi: 10.3389/fendo.2021.681266. eCollection 2021.,Jiang NX,Front Endocrinol (Lausanne),2021,2021/6/21,PMC8213030,,10.3389/fendo.2021.681266
34137167,Lower growth arrest-specific 5 level in endometrium is related to endometriosis via promoting cell proliferation and angiogenesis,"Song G, Yu M, Mi DQ, Jiang Y, Tian G, Geng CP, Yuan JC, Miao SB, Wu XH.",Kaohsiung J Med Sci. 2021 Sep;37(9):776-783. doi: 10.1002/kjm2.12408. Epub 2021 Jun 17.,Song G,Kaohsiung J Med Sci,2021,2021/6/17,,,10.1002/kjm2.12408
34117589,Knockdown of circ_0075503 suppresses cell migration and invasion by regulating miR-15a-5p and KLF12 in endometriosis,"Liu D, Liang Y, Chen M, Yang F, Yao S.",Mol Cell Biochem. 2021 Oct;476(10):3845-3856. doi: 10.1007/s11010-021-04202-5. Epub 2021 Jun 11.,Liu D,Mol Cell Biochem,2021,2021/6/12,,,10.1007/s11010-021-04202-5
34082653,"MicroRNA miR-106a-5p targets forkhead box transcription factor FOXC1 to suppress the cell proliferation, migration, and invasion of ectopic endometrial stromal cells via the PI3K/Akt/mTOR signaling pathway","Zhou X, Chen Z, Pei L, Sun J.",Bioengineered. 2021 Dec;12(1):2203-2213. doi: 10.1080/21655979.2021.1933679.,Zhou X,Bioengineered,2021,2021/6/4,PMC8806537,,10.1080/21655979.2021.1933679
34055578,MicroRNA-342 Promotes the Malignant-Like Phenotype of Endometrial Stromal Cells via Regulation of Annexin A2,"Sun D, Wang Y, Wang L, Guo X.",Anal Cell Pathol (Amst). 2021 May 15;2021:1328682. doi: 10.1155/2021/1328682. eCollection 2021.,Sun D,Anal Cell Pathol (Amst),2021,2021/5/31,PMC8143883,,10.1155/2021/1328682
34049811,Disturbed progesterone signalling in an advanced preclinical model of endometriosis,"Esfandiari F, Heidari Khoei H, Saber M, Favaedi R, Piryaei A, Moini A, Shahhoseini M, Ramezanali F, Ghaffari F, Baharvand H.",Reprod Biomed Online. 2021 Jul;43(1):139-147. doi: 10.1016/j.rbmo.2020.12.011. Epub 2021 Mar 13.,Esfandiari F,Reprod Biomed Online,2021,2021/5/29,,,10.1016/j.rbmo.2020.12.011
33987822,"hsa-miR-199a-3p Inhibits Motility, Invasiveness, and Contractility of Ovarian Endometriotic Stromal Cells","Zhu R, Nasu K, Hijiya N, Yoshihashi M, Hirakawa T, Aoyagi Y, Narahara H.",Reprod Sci. 2021 Dec;28(12):3498-3507. doi: 10.1007/s43032-021-00604-4. Epub 2021 May 13.,Zhu R,Reprod Sci,2021,2021/5/14,,,10.1007/s43032-021-00604-4
33957270,"Endometriosis, infertility and MicroRNA's: A review","Raja MHR, Farooqui N, Zuberi N, Ashraf M, Azhar A, Baig R, Badar B, Rehman R.",J Gynecol Obstet Hum Reprod. 2021 Nov;50(9):102157. doi: 10.1016/j.jogoh.2021.102157. Epub 2021 May 3.,Raja MHR,J Gynecol Obstet Hum Reprod,2021,2021/5/6,,,10.1016/j.jogoh.2021.102157
33949053,LncRNA AFAP1-AS1 regulates proliferation and apoptosis of endometriosis through activating STAT3/TGF-β/Smad signaling via miR-424-5p,"Huan Q, Cheng SC, Du ZH, Ma HF, Li C.",J Obstet Gynaecol Res. 2021 Jul;47(7):2394-2405. doi: 10.1111/jog.14801. Epub 2021 May 4.,Huan Q,J Obstet Gynaecol Res,2021,2021/5/5,,,10.1111/jog.14801
33909757,"Overview of miRNAs for the non-invasive diagnosis of endometriosis: evidence, challenges and strategies. A systematic review","Monnaka VU, Hernandes C, Heller D, Podgaec S.",Einstein (Sao Paulo). 2021 Apr 26;19:eRW5704. doi: 10.31744/einstein_journal/2021RW5704. eCollection 2021.,Monnaka VU,Einstein (Sao Paulo),2021,2021/4/28,PMC8054530,,10.31744/einstein_journal/2021RW5704
33901012,Construction and topological analysis of an endometriosis-related exosomal circRNA-miRNA-mRNA regulatory network,"Wu J, Fang X, Huang H, Huang W, Wang L, Xia X.",Aging (Albany NY). 2021 Apr 26;13(9):12607-12630. doi: 10.18632/aging.202937. Epub 2021 Apr 26.,Wu J,Aging (Albany NY),2021,2021/4/26,PMC8148458,,10.18632/aging.202937
33849101,The role of miR-27b-3p/HOXA10 axis in the pathogenesis of endometriosis,"Li L, Guo X, Liu J, Chen B, Gao Z, Wang Q.",Ann Palliat Med. 2021 Mar;10(3):3162-3170. doi: 10.21037/apm-21-343.,Li L,Ann Palliat Med,2021,2021/4/14,,,10.21037/apm-21-343
33846796,"Berberine inhibits the proliferation, invasion and migration of endometrial stromal cells by downregulating miR‑429","Gu Y, Zhou Z.",Mol Med Rep. 2021 Jun;23(6):416. doi: 10.3892/mmr.2021.12055. Epub 2021 Apr 13.,Gu Y,Mol Med Rep,2021,2021/4/13,PMC8025458,,10.3892/mmr.2021.12055
